http://www.tripadvisor.com/Hotel_Review-g34439-d267917-Reviews-orASDF0-Parisian_Hotel_Suites-Miami_Beach_Florida.html#REVIEWS
0,terrible terrible hotel
1,unprofessional clerk old lady at desk
2,horrible
3,nice
4,great time
5,horrible
6,loud dirty and expensive
7,dont stay
8,not worth it
9,roach motel stay away
10, we have been there for a couple of nights and only the location is good everything else is a complete lost of money the staff was not friendly at all when we need a taxi they refuse to help us to call one the noise was permanent with screams from other guests during almost all the night not only on 
11, lady at the desk morning in her s blond straight hair never smiles was extremely rude and non professional   hotel  occupied  the housekeepers check list was on the reception desk in front of me but woman refused early check in  which i requested by email  hours earlier i got there at  am and waited in 
12, this hotel does not offer what it advertises sub standard is an understatement i will never go back it was so bad i checked out the next morning elevators dont work downstairs bathroom broken room grungy walls and bathroom tiles dirty sheets old they didnt smell fresh breakfast other than seeing people with coffee i saw i other breakfast items 
13, stayed from this company in a hostel i liked the room it was big comfortable and cool very cheap safe and nice local people living there breakfast is poor only drinks and some sweet pastriesbut i would stay in this hostel again its cheap good location everything is close shops party beach 
14, we had an awesome time the staff was excellent never needed for anything and everything was very clean will be back we loved it the area the hotel in is great its walking distance to everything and it was so nice to be greeted by the staff when you got back and they also work great about telling us about 
15, i stayed here with a companion during spring break for one night on a spur of the moment trip to south beach the only reason we stayed it because it was the only place available that night that wasnt nite the only positive thing about this place is its location very convenient to ocean dr and miami nightlife its a scary 
16, stayed here during spring break almost every hotel and motel in miami beach was full the room was not very clean or nice the shower could only produce very warm or very cold water the window faced a wall the worst part about this hotel was that you could hear everything that was going on in the room next door 
17, my family stayed here last summer in the penthousenot a penthouse just a top floor facing colllins we were traveling on a budget so we thought it wouldnt be that bad it is absolutely the worst hotel i have ever stayed at just a step above a dirty hostel really the floors were dirty and disgusting towels were a joke 
18, the only good thing about this place is the location the staff was not friendly the room was bad and so was the breakfast close to the beach the room was cold and we couldnt turn of the air conditioning 
19, i am not even sure where to start here see my pictures and if you still want to stay here you have problems here is my list  safe didnt work  mold all over the floors  rooms were hot as hell and smelled  no ac control in room no fans  oven didnt work fridge didnt work 
20,worst vacation
21,worst vacation thanks to this hotel  its bed bugs
22,pretty basic hotel
23,terrible and expensive the worst motel is better than this
24,trash
25,the worst ever
26,avoid this hotel first time in my life i checked in an hotel then checked out right away
27,very poor
28,dont stay here
29,absolute dump
30, i went here with my boyfriend and when we went into our room the first thign he said was vincent weve messed up now theres an a lot nicer hotel near by so do not fret our vacation was better after that one terrible night the front desk staff are utterly rude its expensive the air conditioning button is broke 
31, where to begin since my whole stay at this hotel was absolutely horrendous the only thing the hotel has going for itself is the location the front desk staff is rude  crass one of them wendy actually called a customer a cut when we st checked in there was a problem with the reservation we squared that away  
32, just as i sit here to write this review out of the corner of my eye i see other peoples reviews i read the first  and have to say i cannot agree with  of the comments i stayed  nights here in june  before i stayed here i checked a fancy hotel right across the road from 
33, we are still in the hotel because i asked tonight and they voluntarily charged two nights on my credit cardi asked yesterday to cancel the second night and they said to me that it was impossibile and i would have lost the deposit of  usd tooit is incredibile the air confitioning botton is broken the room is poor and 
34, dont stay have no customer service rooms are the worst ever seen and the price was ridicules not even ice beds sound crooked mattress springs out i spray with lysol bath tub need sandals to bath not safewall filthy doors slamming all nite dont stay  
35, this had been the first time ever when i checked in and had to leave as soon as i got into the room i just had to run away from that place stink dirt anti sanitary conditions is there any authority that controls it somehow moreover when complained the desk did not want to refund 
36, we made a reservation online for the hotel not knowing what it was the woman at the front desk was extremely rude the room was  the night even thought there was no chance to get our money back its the first time in my life i checked in an hotel then checked out right away 
37, ok so we got here by chance because amextravel screwed our reservarions on the haddon hall well since it was a booking done on the hour they charged us more  dollars per night for a two bed room for the price i assumed this was a nice hotel but no they said they had internet in the lobby but that was 
38, the rooms were more or less acceptable but the worst thing was breakfast its hilarious that they even call it so no bread no milk no egg no fruit only a horrible cafe and a couple of cheap uneatable muffins last but not least when i tried to pay with my credit card they told me that it wasnt working 
39, i stayed on the rd floor and it was noisy up until midnight  thought there was a fight taking place  my kids were scared slept ok through the night but was on edge all the time  a nice hole in the shower curtain and lack of towels  the safe didnt work and the breakfast was terrible 
40,the most pleasant experience
41,horrible down right horrible
42,nd stay
43,cheap one
44,horrible
45,dont stay here
46,disgusting tiny repulsive putrid old rude scam artists
47,terrible
48,worst hotel ever
49,needs to be shut down by health board
50, i just expend a weekend at this hotel after a horrible experience at the holyday inn and wow  the beds are new and plush the prices are so cheap  by beach standards and i got the time of my life my rate at least starts 
51, let me tell you something roaches worst ever hard beds toilets had dry stains on it eww the smell was awful dirty floors and stained sheets with disgusting stuff on them lucky me i staid  days tv like the first tv ever horrible just let me save your time dont go here ever my family left a day early 
52, not your luxury big box hotel   but very nice great location clean updated room with very comfortable beds good bathroom and water friendly helpful staff small breakfast included we stayed on nd floor   no noise at all room has black out curtains so we slept really well you cant go wrong here   excellent in comparable price point 
53, well since i arrived late to hotel front desk offered me a discount and allowed me to check out one hour later it was one of the few hotels with available rooms so i decided to stay for one night needed to pay a deposit in cash because their credit card reading equipment was on tilt poor breakfast 
54, im visiting from newyork and by far this has been the worst hotel i ever stayed in the ceiling above the vent had mold going across the wall behind the tv was cracked big hole look like some one punched it the shower curtain had pen mark all over like some one child used it as their coloring table the 
55, this hotel is a true hell hole large bugs squashed on the wall sheets with big stains on them hairs in the beds beds with sunken mattresses the mattresses made so much noise when you moved everyone in the room woke up air con which can not be turned off or regulated broken tiles in the bathroom it is a 
56, absolutely filthy tiny excuse for a room towels were tiny pieces of sandpaper covered in filth blood and rust we checked in at am spur of the moment because there were no other rooms around dont let tge quaint exterior and lobby fool you the lady at the front desk played music so loud in the lobby we couldnt sleep 
57, horrible hotel everso dirty and stinkyright after i saw the room i went to the store to get disinfectant spray cause i am pretty sure that nobody even touch the roommay be just to take trash outits so bad that i cant even express my madnesseverything is so old and dirtyhow this place is still open i have no ideaand 
58, dirty filthy run down smelly crack hotel feel to this place carpeting is stained and dirty towels are old stained  dirty beds are old dirty and stained walls are old dirty and stained bed spread full of hair it is almost midnight and we cannot even force ourselves to stay here another minute camping in a tent in the middle of 
59, these rooms are the worst rooms i have ever stayed in you pay good money and the room is disquisting the sheets were dirty the floor was filthy the beds were broken and they wont even give you a refund needs to be shut down 
60,scammers
61,bad bad bad
62,the worst
63,please dont go if you can
64,dont be fooled
65,horrible
66,not the taj but acceptable
67,worst hotel ever
68,horrendous never ever stay here
69,i wouldnt want my worst enemy to stay here
70, residence for dealers and prostitutes horrible dirty hotel scandalous staff sheets dirty room smelled like urine  minutes after walking into the room we were at the front desk demanding a refund for the night which was not returned unfortunately i payed cash stay there at your own risk same room price stayed at the best western oceanfront up the 
71, the worst room i have ever stayed at lamps in the room was broken beds were hard and worn out bathroom was filthy linen was surprisingly clean the floors was dirty if it wasnt for us being tired and needed a room badly we should not stayed 
72, this is not only the worst hotel i ve been in my whole life but also the stuff is the worst i ve ever seen any where in the world we had a double queen room and we paid  one of the bed was broken in the middle and on the sheet of the other bad there were hair 
73, there were so many worse but clear reviews below so i dont need to say too much it was total accident to stay here and we had no choice all i can say is please do not go if you can roomsi thought is was a hostel not hotel not motel but its worse than a hostel free breakfast  
74, me and a group of friends went to miami for dayglowlife in color and booked at the parisian before going down there we read the all the horrible reviews and realized how crappy this hotel was going to be we dreaded it when we arrived the guys at the front desk were somewhat rude and very slow but we went 
75, the worst hotel in miami i cant believe they let this hotel operate  bad smell  bed bug very old tv without remote very cheap breakfast  please stay awayyou regret staying here  oh yeah its no refund  very old bath towel  incomftaible bed  very dirty carpet  when i asked for someone to come 
76, a great locationok staffworn but semi cleanseems safei got use to it as i have never stayed at this level but it really worked and i liked some of the other people staying there coffee and juice and pastries in morning are free till ami liked being so close to ocean rd where it is so clean and all the 
77, the front desk is horrible they never pick up the phone and the manner are just just horrible  ridiculous charges for parking they even charge me addition  without letting me sign anything causing me so much trouble to contact the hotel and the back the room is sooooooo old with a wired smell we can not turn off 
78, we arrived in miami after our wedding in the uk and checked into our already booked hotel   the z ocean on collins  amazing we stayed  nights in the z and then drove down to key west for  nights before returning to miami south beach for our remaining  nights after a nightmare journey back we arrived 
79, we stayed  nights on spring break when we arrived we were told we had a  bed room with a bathroom we were given a bunk bed in a glorified jail cell with a desk we had a community bathroom at the end of the hall where we discovered a condom on the sink the room maid stole my 
80,parisianmiami   may be as bad as it will ever get
81,good location but no value for the price
82,the worst hotel i have ever stayed in
83,avoid at all costs
84,interesting experience
85,could not imagine a worse place to stay
86,front desk needs to learn some manners
87,old and run down
88,horrendous dump
89,horrible hotel please do not stay at this property
90, stayed here with another couple after arriving late in the afternoonlocation was great as it was  blocks from beach and  blocks from lincoln rd great selection of restaurants and shops car parking in lot opposite and cheapest price we had so far found front desk staff were polite and helpful and after showing us some rooms that seemed 
91, i got there scarred because of the reviews i read after doing my bookingmy bas in fact when we first arrived there a couple of customers were complying because of some problem with their bathroom and the worker told them to leave the place if they didnt like it it tooke long time to check in about  min but 
92, i stayed in this hotel for just one night with my brother mom and son originally we all had rooms in the parisian but my room door didnt close so they gave me a room next door in the geneva and that only after i made a fuss because i had been waiting for hour for the handyman george to 
93, we found ourselves having to take a one night stay here last month we couldnt wait to leave whilst the lobby entire is inviting enough the hotel room was thoroughly depressing it reminded me of something out of a cheap horror movie the air con blew freezing cold air continuously into our room yes   we were shivering in miami 
94, we spent only olny one night at the parisian but that was enough the beds are from the early s and so they feel like the bed lines are partially dirty also the rest of the room the rooms were not updated since a long time they said breakfast is included breakfast was only a cup of coffe with whitener 
95, we stayed at the parisian during wmc week because we booked the trip last minute and there werent many options without paying an arm and a leg we had very low expectations going in to it but could not imagine just how bad it would be we took a red eye from california so we arrived very early in the 
96, went there in january after booking with expedia we were surprised by the  dollar cash deposit most hotels just take your credit card only two people at a time can ride the elevator wanted to take a late night bath but all the hot water was used breakfast was a bunch of pastries and no coffee was even made 
97, this hotel is in a great location if you want to stay in south beach for cheap the hotel is very old and run down the rooms havent been updated since the early s the beds were so old and the sheets were thin and disgusting tv was an old tube tv and there is nothing good to say about 
98, this place epitomizes horrendousfrom the rooms to the staff id have a hard time justifying this hotel for night in tijuanaseriously its a cesspool of a hotel smoking rooms beds with coils sticking out no ac control on max with no onoff or temp control not trash can no shower head badly stained carpets broken blinds and a staff that 
99, this place is the most discusting and horrible place i have ever stayed the employees are rude and discosting themselve avoid staying here by all means stay under a bridge you will sleep better and get a better treatment 
100,i think i contracted a venereal disease at this hotel
101,avoid this place at all costs
102,run away faster than forest gump
103,betty davis would say what a dump
104,great place for price
105,smiling at the memories
106,disgusting crack den
107,read this review
108,horrible rudeugly and nasty employee
109,the worst
110, when ape like creatures gathered themselves together invented fire realised the absence of humour in adam sandler films and finally moved out of feces lined caves i think they imagined they would never return to that place sadly some modern day hominids had the misfortune of unearthing the cave or parisian hotel  suites as they call it now the 
111, horrible customer service both when i tried contacting them via phone to ask some questions about check in and luggagei asked when check in was they told me and then promptly hung up without letting me ask any other questions i might have had or informing me about an early check in option they had they had a complimentary breakfast but it was pastries 
112, worst stay ever at a hotel wasnt expecting a  star resort at all but definately wasnt expecting a   resort rude spaced out front desk worker who often would fall asleep with head on counter rooms dirty darkmusty old halfway house furniture appeal sheets stained bed old and uncomfortable pillows old and flat small old tv with few channels 
113, the rooms are filthy the carpet was stained from last nights party the stairwells are littered with old mattresses the night crew was was very pleasant but the woman in the morning was a miserable witch please dont stay here unless you like hip hop at  am and bed bugs when the lights go out ps the free breakfast 
114, now this isnt a  star place but it is clean the staff is awesome norma monica and yolanda are so helpful and sweet older hotel but room was comfy and very clean they use actual cleaning supplies not just water like some of the bigger hotels and the pastries for breakfast are amazing great location we would definitely go 
115, i went for a pleasant leisure trip in march just because i wanted a pleasant holiday in florida and we needed the cheapest hotel we could find we failed to read the reviews before  read them now some were pleasant all n all i would stay again pleasant enough 
116, we had arranged the reservation through expedia same day as the stay but upon review of the room at pm which was still being cleaned since we first got to the hotel at pm found no toilet paper multiple fluid stains all over the carpet empty pill casings under the bed no toiletries shampoo etc and a funky odor upon 
117, this is the most disgusting place ive ever stayed me and my mom traveled  hours to get here when we tried to check in they told us to wait cause they were doing a shift change and couldnt help us we waited  minutes when me and my mom got to the room we both cried there was a 
118, this was the most horrible experience ive had in a hotel staff is extremely nasty and rude the rooms lobby elevator all dirty smelly no air conditioning do not stay in this hotel or you will end up getting sick from poor hygiene of those pigs who work there 
119, this is the worst hotel i have ever stayed at the room was dirty and the staff didnt care to do anything about it after we asked for a clean room the staffs attitude was rude i was told the coffee was the problem of the morning maids and would have to wait till  for the coffee and continental 
120,horrible rooms very dirty and creepy
121,amazing location vintage feel
122,great location close to south beach miami
123,sleep in your car not here
124,dont let the bed bugs bite
125,omgthe health department should be notified
126,nasty ghetto dump
127,perfect location
128,alright for a college kid that is used to that type of enviroment
129,worst hotel in miami
130, my sister and i stayed here on our last night in south beach and the room was terrible it was dirty and old cracks on the walls and no hot water my entire room smelled like weed from the other patrons smoking and i dont even want to start on the uncomfortableness of the bed pillows were flat as pancakes 
131, i would highly recommend this hotel for people who are over  yrs old but not yet  dont be fooled by other peoples reviews ive stayed here  times and have yet to have a problem involving health or safety issues you get what you pay for location 
