http://www.tripadvisor.com/Hotel_Review-g32766-d190271-Reviews-orASDF0-Senza_Hotel-Napa_Napa_Valley_California.html#REVIEWS
0,beautiful family hotel  min to napa city
1,awful front desk staff
2,right off the highway but still quite 
3,splendid hotel
4,perfection surrounding view of the vineyard in napa
5,wonderful boutique hotel
6,great honeymoon stay
7,great hotel
8,modern boutique hotel
9,great peaceful spot
10,is there a shuttle service from airport sfo regards
11,we have reservations for two nights in october we would like to hire a driver for a private tour for the day to   wineries of our choice do you have a recommendation
12,what view do you get when you book a senza king room can you request or get a vineyard view
13,people keep talking about the cottages or cabins but when i look to book they do not show any cottages are the vineyard suites the cottages 
14, new fresh lovely rooms and service high quality products and pleasant service pricy however delivers to the expectation close to the main road so you will hear traffic own pool and excellent continental breakfast we loved it 
15, i normally do not write reviews however this hotel deserves one to be written first of all do not stay on the lower level   you can hear everything from the room above you second after booking a tour with the front desk and accidentally leaving the do not disturb sign on the room we did not have any room 
16, i have to say right off i didnt think i would like this contemporary hotel but i really did it was right off of the highest but i couldnt hear any traffic from my bedroom the bed was amazing and so comfy they had a fireplace in the room for those chilly nights the breakfast was delicious as well it 
17, my husband and i checked in tonight we booked this room last minute on our way to napa and the reservation host kaylawas extremely helpful and accommodating we were upgraded to the vineyard king suite immediately and because we were celebrating our wedding anniversary a bottle of chilled champagne and  pieces of cheesecake were waiting for us in our 
18, omg is all i can say about senza last time i was here and this time are completely different as it used to be la residence i loved the former but the new facelift added buildings and fantastic rooms renovations are superior the rooms and bath experience are the best in napa i loved my room the view overlooking vineyards 
19, we couldnt be happier with our hotel choice really nice staff who are accommodating with whatever you needask for help with beautiful little property and the rooms are spacious very clean and top quality also the continental breakfast and wine and cheese tasting offered each day both complimentary are really really good also great location in between napa and yountville 
20, we came to the senza for our honeymoon overall it was the perfect spot for us an art historian and an architect the room was modern and luxurious there were lots of small details that made our stay extra special gorgeous fireplace wine fridge heated bathroom floors etc even a tranquil lavender linen spray each morning there was a lovely 
21, on our first visit to the area we loved senza each night the wine tastings fruit and cheese selections were all great the breakfast spread is superb our room was spacious and comfortable with super soft linens the employees were all helpful and courteous the noise at night was just a tiny hindrance and the location seemed a little inconvenient 
22, we loved our  night stay at this modern boutique hotel our vineyard king room on the northern edge of napa was modern and clean lined with polished concrete floors fireplace comfy bed and a beautiful bathroom the best parts of the hotel were the room itself with its lovely vineyard view the breakfasts with the pastries from bouchon bakery and 
23, great staff great grounds wonderful breakfast on site the pool and spa areas were nicely maintained and appointed the workout room was totally set up for basic workouts our room was excellent amazing bed and pillows 
24,a most wonderful boutique experience
25,delightful
26,romantic napa hotel
27,the perfect boutique hotel in napa
28,loved everything but the towels 
29,exceptional
30,this is the place to stay in napa
31,sleeping on highway 
32,amazing modern clean beautifulgreat breakfast and happy hour
33,beautiful hotel great location
34,is there a shuttle service from airport sfo regards
35,we have reservations for two nights in october we would like to hire a driver for a private tour for the day to   wineries of our choice do you have a recommendation
36,what view do you get when you book a senza king room can you request or get a vineyard view
37,people keep talking about the cottages or cabins but when i look to book they do not show any cottages are the vineyard suites the cottages 
38, a truly lovely small and quiet hotel well situated and close to everything of interest the accommodations are gracious and up to date the amenities are truly enjoyable and the property is beautifully maintained the fire pit and jacuzzi pool and patio are comfortable relaxing areas the wine tasting with hors doeuvres and morning breakfast are truly a delight the 
39, a relatively new beautiful property in a great location  a very short ride from both napa and yountville comfortable spacious room friendly staff outstanding buffet breakfast i would easily return but would ask for a room a bit further back from the highway some road noise 
40, this was our nd time to stay the weekend at this hotel just as good as the first we even stayed in the same room breakfast is included and its fantastic with a wide variety of food bagels cereal charcuterie yogurt phenomenal pastries fresh fruit  juice tea and different coffee drinks the location right off the highway might concern 
41, we were visiting napa for our  year wedding anniversary and initially had no idea where to stay after reading many hotel reviews we decided to stay at senza and it was the best decision there were no king rooms available but the double queen was fine the room was amazing we were on the ground floor which led out to 
42, eco friendly is a great moniker for many things its just not one that i want associated with bath towels gimme a big soft thirsty terry clothed towel and im a happy camper these were not beyond that the senza is a beautiful property attractive modern new building stayed in the walt building room  facing the pool large spacious room 
43, we stayed at senza for  nights and i have to say that this is truly a  star boutique hotel the staff was very friendly and accommodating we had a garden king with a vineyard viewomg this room was spotless the bed and pillows were extremely comfortable and the room was very spacious the bathroom was huge with the 
44, this is a beautiful boutique hotel with amazing customer service make sure you are there for the complimentary wine hour where you not only get great wine with meat and cheese tray but will get to talk with someone from the winery breakfast is wonderful with every thing you need this is where we will be staying from now on 
45, after reading all the reviews we were excited to experience staying at senza i will say the staff was very friendly and the location to wineries was great breakfast was wonderful butwe felt like were slept on the road every night our rooms were in the parker building and it was so loud they really need to replace the windows 
46, a wonderful hotel right at the base of napa the buildings are older   so dont be scared when you see them from the outside the rooms are amazingly clean modern decor and very spacious there is great art around the property the breakfast buffet is probably one of the best of any hotel ive ever stayed   croissants fresh 
47, the room was very comfortable clean and quiet the staff was very friendly and helpful the wine and cheese in the evening was a wonderful amenity and the breakfast in the morning includes pastries from bouchon bakery and coffee from nespresso the location is great very close to yountville and not far from downtown napa either i definitely recommend this 
48,boutique hotel that delivers a great exerience
49,incredible
50,surprisingly beautiful
51,fabulous
52,great place to stay in napa
53,excellent napa choice
54,wonderful  wonderful  wonderful
55,senza hotel napa
56,would stay there again in a heartbeat
57,a paradise in napa
58,is there a shuttle service from airport sfo regards
59,we have reservations for two nights in october we would like to hire a driver for a private tour for the day to   wineries of our choice do you have a recommendation
60,what view do you get when you book a senza king room can you request or get a vineyard view
61,people keep talking about the cottages or cabins but when i look to book they do not show any cottages are the vineyard suites the cottages 
62, when booking the garden suite room ahead of the holiday i didnt do a great job of communicating what my wife  i were looking for but when we arrived and realised we wanted a first floor suite as opposed to ground floor martha could not have been more helpful the rooms were changed around and anti allergenic bedding moved 
